[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.syncUserInfo
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.getWxPhone
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.getH5Sign
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.checkLogin
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] user.bindPhone
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] vip.order.queryVipOrder
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] vip.order.prepay
[2025-12-28 10:59:07.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] vip.template.list
[2025-12-28 10:59:07.384] [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-8000"]
[2025-12-28 10:59:07.402] [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext:633 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'
[2025-12-28 10:59:07.415] [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger:82 - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
[2025-12-28 10:59:07.434] [main] ERROR o.s.b.diagnostics.LoggingFailureAnalysisReporter:40 - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8000 was already in use.

Action:

Identify and stop the process that's listening on port 8000 or configure this application to listen on another port.

[2025-12-28 10:59:42.263] [main] INFO  c.d.unimall.runner.UnimallRunnerApplication:50 - Starting UnimallRunnerApplication using Java 21.0.9 with PID 27148 (D:\projects\unimall\unimall-runner\target\classes started by Administrator in D:\projects\unimall)
[2025-12-28 10:59:42.264] [main] INFO  c.d.unimall.runner.UnimallRunnerApplication:654 - No active profile set, falling back to 1 default profile: "default"
[2025-12-28 10:59:42.877] [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:295 - Multiple Spring Data modules found, entering strict repository configuration mode
[2025-12-28 10:59:42.879] [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:143 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2025-12-28 10:59:42.900] [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:211 - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
[2025-12-28 10:59:43.540] [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:111 - Tomcat initialized with port 8080 (http)
[2025-12-28 10:59:43.548] [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8080"]
[2025-12-28 10:59:43.551] [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
[2025-12-28 10:59:43.551] [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/10.1.28]
[2025-12-28 10:59:43.601] [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/unimall]:173 - Initializing Spring embedded WebApplicationContext
[2025-12-28 10:59:43.601] [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:296 - Root WebApplicationContext: initialization completed in 1301 ms
[2025-12-28 10:59:44.360] [main] INFO  c.d.fw.pay.service.pay.wx.WxPayServiceImpl:75 - [微信支付] 未加载P12证书
[2025-12-28 10:59:45.019] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.address.list
[2025-12-28 10:59:45.020] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.list
[2025-12-28 10:59:45.020] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.info
[2025-12-28 10:59:45.020] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.delete
[2025-12-28 10:59:45.020] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.create
